epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3403,1.94932,3.60326,1.96375,0.17038,0.38684,0.11374,0.05239,1.76373,2.61451,1.8852,0.000659794,0.000659794,0.000659794
2,105.337,1.90109,2.07913,1.89841,0.13792,0.38485,0.09284,0.0361,2.02694,6.92253,2.04757,0.00132632,0.00132632,0.00132632
3,139.45,1.88634,2.09484,1.88684,0.44153,0.39282,0.35985,0.15534,1.86712,3.86216,2.02579,0.00199226,0.00199226,0.00199226
4,173.489,1.87346,2.02845,1.85966,0.40391,0.37687,0.31603,0.13249,1.90913,2.58848,1.98905,0.00199805,0.00199805,0.00199805
5,207.189,1.84182,1.92287,1.81186,0.61468,0.52642,0.56884,0.27,1.71869,1.88517,1.82169,0.00199653,0.00199653,0.00199653
6,240.59,1.83154,1.89806,1.84756,0.62955,0.57945,0.60791,0.28511,1.68727,1.92656,1.82743,0.00199458,0.00199458,0.00199458
7,275.35,1.79303,1.81413,1.80671,0.64566,0.55046,0.60476,0.29395,1.72183,1.83337,1.90027,0.00199219,0.00199219,0.00199219
8,309.443,1.80725,1.84288,1.82298,0.63899,0.52841,0.59132,0.28702,1.73816,1.65349,1.95805,0.00198938,0.00198938,0.00198938
9,343.713,1.77086,1.7497,1.77953,0.62552,0.52459,0.57907,0.28913,1.64067,1.8689,1.7911,0.00198614,0.00198614,0.00198614
10,377.42,1.74425,1.68548,1.76391,0.59466,0.48554,0.54107,0.26494,1.70386,1.74639,1.8375,0.00198246,0.00198246,0.00198246
11,411.68,1.75565,1.64102,1.75766,0.70971,0.60451,0.68051,0.34089,1.63435,1.57821,1.78123,0.00197837,0.00197837,0.00197837
12,445.109,1.756,1.66651,1.76224,0.69399,0.64008,0.69924,0.34729,1.6575,1.41256,1.78617,0.00197384,0.00197384,0.00197384
13,479.161,1.72761,1.62764,1.7292,0.69995,0.57216,0.67552,0.33893,1.63287,1.51636,1.78102,0.0019689,0.0019689,0.0019689
